source_text,target_text,relation,source_type,target_type,file_name
"Portugal v Commission [2006] ECR I-7115, paragraph 54).",duction from all scrutiny under the rules on State aid.,no-relation,premise,non-argumentative,A2011_European Commission (C-106_09 P) and Kingdom of Spain (C-107_09 P) v Government of Gibraltar and United Kingdom of Great Britain and Northern Ireland
of assessing the advantage granted.,regards the Skouries mine cannot be accepted.,no-relation,premise,premise,A2017_Ellinikos Chrysos AE Metalleion kai Viomichanias Chrysou v European Commission
and it does not go against the objective pursued by the private investor test.,"In the present case, therefore, application of the private investor test would have made it possible to determine whether, in similar circumstances, a private shareholder would have subscribed, to an undertaking in a situation comparable with that of EDF, an amount equal to the tax due.",support,premise,premise,R2012_European Commission v Électricité de France (EDF)
"The General Court was therefore correct in holding that, in the absence of a final decision of the Commission closing the formal investigation procedure, the effects of the decision at issue endured, so that the City of L�beck retained an interest in bringing proceedings seeking the annulment of that decision.","In the present instance, in the light of that case-law it is apparent that, as the General Court stated, after the privatisation of L�beck Airport the City of L�beck remained at least exposed to the risk that a national court might order the recovery of any aid granted when FL owned the airport.",support,premise,premise,R2016_European Commission v Hansestadt Lübeck
"That deferral of payment did not take into account the condition laid down in Article 1 of the Council decision, under which interest-free loans granted by the Italian Republic are to be reimbursed in yearly instalments of equal size, where compliance with that condition was regarded by the Council as ensuring compatibility of the aid with the single market.","The latter, in particular, inserted Article 1(12)k into Decree-Law No 225, which provided that, “[i]n order to address the serious crisis affecting the dairy sector, the time-limits for payment of the amounts due on 31 December 2010 referred to in the instalment plans laid down by Decree-Law No 49 [and the subsequent legislation] have been extended until 30 June 2011” (“the deferral of payment”).",no-relation,premise,non-argumentative,A2017_European Commission v Italian Republic_DT
"The Commission submits that the German Government wrongly interpreted the case-law by failing to distinguish between general measures and State aid schemes of general application, and that the Court has never referred, in the case-law cited, to general aid schemes.","the other parties to the proceedings being:Salzgitter AG, represented by J. Sedemund and T. Lübbig, Rechtsanwälte, applicant at first instance, Federal Republic of Germany, represented by M. Lumma and W.-D. Plessing, as well as C. Schulze-Bahr, acting as Agents,",no-relation,non-argumentative,non-argumentative,A2008_Commission of the European Communities v Salzgitter AG
Maria Montessori were directly concerned by the decision at issue.,"appeals, is not vitiated by any error of law.",support,premise,premise,A2018_Scuola Elementare Maria Montessori Srl v European Commission
interpretation of the fourth paragraph of Article 263 TFEU.,Article 1(1) of the contested decision should be annulled.,no-relation,non-argumentative,non-argumentative,R2013_Telefónica SA v European Commission
"The Commission then considered that the justification of that distinction between operators, relied on by the Kingdom of Spain, based on the nature or general structure of the system of which that measure formed part, could not be accepted.","By contrast, as stated above in paragraph 63 of this judgment, in the contested decisions, the Commission, in order to establish the selectivity of the measure at issue, relied primarily on the ground that the consequence of that measure is discrimination, in that it confers a tax advantage on certain resident undertakings and not on others who are subject to the same ordinary tax system from which the measure at issue is a derogation.",support,premise,premise,A2016_European_Commission_v_World_Duty_Free
alleged infringement of Article 88(2) EC.,amendments to the draft tax bill to the Commission.,no-relation,premise,non-argumentative,"R2013_3F, formerly Specialarbejderforbundet i Danmark (SID) v European Commission"
"The German Government submits that, because of the development of the Commission’s understanding of the law in relation to Article 4(c) CS, a more detailed statement of the reasons for the contested decision was required.",The third limb of the first plea,no-relation,non-argumentative,non-argumentative,A2008_Commission of the European Communities v Salzgitter AG
(1) allow the appeal and set the contested judgment aside;,Orders the French Republic to bear its o w n costs.,no-relation,non-argumentative,non-argumentative,R1997_Tiercé Ladbroke SA v Commission of the European Communities
"In order to reject that argument of the Commission, set out in paragraph 144 of the judgment under appeal, the General Court, in paragraphs 139 to 143 of that judgment, referred to the judgments of 7 November 2014, Banco Santander and Santusa v Commission (T‑399/11, EU:T:2014:938), and of 7 November 2014, Autogrill España v Commission (T‑219/10, EU:T:2014:939) and, having stated that, as in the cases which gave rise to those judgments, any operator could benefit from the tax advantages at issue by carrying out a certain type of operation available, on the same terms, to any undertaking, without distinction, it considered that, as in those cases, the fact that the advantages were granted as a result of an investment in a particular asset to the exclusion of other assets or types of investment did not make them selective vis-à-vis the investors, in that the operation was available to any undertaking.","According to the Commission, the fact that any person may, in principle, be a member of an EIG does not transform in a general way a measure which clearly constitutes a derogation from the reference framework and which is granted only to undertakings active in a specific sector of activity.",no-relation,premise,non-argumentative,A2018_Commission v Spain
"Justice, the latter could dismiss those actions as inadmissible.",trade between Member States and distort competition.,no-relation,non-argumentative,premise,R2004_Italian Republic v Commission of the European Communities
further provides that the bets thus collected are to be subject to the statutory and fiscal levies in force in the country where the race is organized and that the proceeds of those levies are to be apportioned between the country where the bets are collected and the country where the race takes place. Such apportionment may include a special portion to cover administrative costs (paragraph 4 of the contested judgment).,"The contested agreement was made against the background of the French legislation, in particular Finance Law N o 64-1279 of 23 December 1964 for 1965 ('Law",no-relation,non-argumentative,non-argumentative,R1997_Tiercé Ladbroke SA v Commission of the European Communities
"It is settled case-law of the Court that taxes do not fall within the scope of the provisions of the Treaty relating to State aid unless they constitute the method of financing an aid measure, so that they form an integral part of that measure (judgments of 13 January 2005, Streekgewest, C‑174/02, EU:C:2005:10, paragraph 25; of 13 January 2005 in Pape, C‑175/02, EU:C:2005:11, paragraph 14; and of 27 October 2005, Distribution Casino France and Others, C‑266/04 to C‑270/04, C‑276/04 and C‑321/04 to C‑325/04, EU:C:2005:657, paragraph 34).","As a result, the aid cannot be considered separately from its method of financing (see, to that effect, judgment of 14 April 2005, AEM and AEM Torino, C‑128/03 and C‑129/03, EU:C:2005:224, paragraph 45).",support,premise,premise,R2016_DTS Distribuidora de Televisión Digital
differentiation arises from the nature or the general scheme of the system of which they form part.,justified by the structure of the Italian tax system.,no-relation,non-argumentative,non-argumentative,A2012_BNP Paribas and Banca Nazionale del Lavoro SpA (BNL) v European Commission
based on the price paid by TVX Hellas in 1995.,"in law, the first of which was subdivided into several heads of claim.",no-relation,non-argumentative,non-argumentative,A2017_Ellinikos Chrysos AE Metalleion kai Viomichanias Chrysou v European Commission
to the definition of that term in Article 1(h) of Regulation No 659/1999.,graph 57 et seq.,no-relation,premise,non-argumentative,A2010_NDSHT Nya Destination Stockholm Hotell & Teaterpaket AB v European Commission
"According to that Member State, paragraph 56 of Case C‑372/97 Italy v Commission [2004] ECR I‑3679 indicates that the statement of reasons is adequate when the Commission identifies, at least generally, the normal costs of the category of undertakings concerned and how they relate to the objective of the aid.","According to the Italian Republic, the Court of First Instance did not infringe Article 87(1) EC and followed the general trend of the case-law.",no-relation,non-argumentative,non-argumentative,R2006_European Commission v Italian Republic
"Regarding the reasons set out at recitals 76 and 78 to the contested decision, the Court of First Instance, without erring in law, held, in paragraphs 68 to 74 of the judgment under appeal, that those recitals, even when read in combination with the principles set out in recital 75 of the contested decision and with the finding that the financial situation of Wam has improved are not sufficient to permit an understanding of how the aid at issue is liable, in the present case, to affect trade between Member States and to distort or threaten to distort competition in that sector.","Finally, as to the case-law cited in paragraph 54 of this judgment, according to which, in principle, the aid which is intended to release an undertaking from costs which it would normally have had to bear in its day-to-day management or normal activities distorts the conditions of competition, it is sufficient to note that the aid at issue is not in fact intended to release Wam from such costs.",support,premise,premise,R2006_European Commission v Italian Republic
"In the light of the terms of Decision 93/337, the appellant cannot therefore claim the possibility, which cannot be excluded (see Commission v Germany, cited above, paragraph 16), for the recipient of unlawful aid to rely on exceptional circumstances on the basis of which it legitimately assumed the aid to be lawful.","has exclusive competence and wide powers, in order to implement tax harmonisation. Such harmonisation belongs in reality to the procedure provided for in Articles 101 of the EC Treaty (now, after amendment, Article 96 EC) and 102 of the EC Treaty (now Article 97 EC), which confers competence on the Council of the European Union.",no-relation,premise,non-argumentative,R2004_Daewoo Electronics Manufacturing España SA and Territorio Histórico de Álava - Diputación Foral de Álava v Commission of the European Communities
"proportionality, must be rejected.",disproportionate to the objectives of the Treaty.,support,conclusion,premise,R2004_Italian Republic v Commission of the European Communities
There is therefore no need to examine whether and to what extent those airlines actually utilised the economic advantage arising from the application of the lower rate.,"As is apparent from paragraphs 92 and 93 above, the recovery of aid entails the restitution of the advantage procured by the aid for the beneficiary, not the restitution of the economic benefit that may have been conferred by the aid as a result of the exploitation of the advantage.",support,premise,premise,A2016_European Commission v Aer Lingus Ltd and Ryanair Designated Activity Company
regarded as compatible with the common market up to January 1989.,"accordingly erred in law, decisively affecting the outcome of the case.",no-relation,non-argumentative,premise,R2000_French Republic v Ladbroke Racing Ltd and Commission of the European Communitie
relevance to the determination of whether or not it constitutes aid.,failed to state grounds as regards the plea alleging misuse of powers.,no-relation,non-argumentative,non-argumentative,R2004_Ramondín SA and Ramondín Cápsulas SA (C-186_02 P) and Territorio Histórico de Álava - Diputación Foral de Álava (C-188_02 P) v Commission of the European Communities
decision was to achieve tax harmonisation.,"ECR 1-8763, paragraph 137 and the cases cited).",support,premise,premise,R2004_Ramondín SA and Ramondín Cápsulas SA (C-186_02 P) and Territorio Histórico de Álava - Diputación Foral de Álava (C-188_02 P) v Commission of the European Communities
"Since the first plea in law and the other complaints raised in the second plea in law were rejected by the General Court, the action must be dismissed in its entirety.","Essentially, it challenges the General Court’s assessment, in paragraphs 74 to 91 of the judgment under appeal, that the system of staggered payments, which constitutes an existing aid scheme, having been granted conditional authorisation from the Council and having subsequently been altered in breach of the authorisation conditions for that system, must be regarded as an existing aid scheme and not as a new aid scheme, on the ground that the Commission did not establish that that alteration affects the actual substance of the pre-existing measure.",no-relation,non-argumentative,non-argumentative,A2017_European Commission v Italian Republic_DT
"grant of State aid is, in any event, redundant.",solely because of the allocation of that quota.,support,premise,premise,R2002_associacao dos refinadores de acucar portugueses
procedure - Decision declaring the aid to be incompatible with the internal market and ordering its recovery - Private creditor test - Limits of judicial review - Substitution by the General Court of its own grounds for those set out in the contested decision - Manifest error of assessment - Distortion of evidence),probably have been completed in a shorter period than the period normally necessary for the conclusion of such a procedure.,no-relation,non-argumentative,non-argumentative,A2013_Frucona Košice a.s. v European Commission
"The Federal Republic of Germany recalls that the Court has previously held that a tax concession in favour of taxpayers who sell certain financial assets and can offset the resulting profit when they acquire other financial assets confers on them an advantage which, as a general measure applicable without distinction to all economic operators, cannot be classified as State aid (judgment of 19 September 2000, Germany v Commission, C-156/98, EU:C:2000:467, paragraph 22).","First, there must be an intervention by the State or through State resources.",no-relation,non-argumentative,premise,A2016_European_Commission_v_World_Duty_Free
"In paragraphs 63 to 72 of the judgment under appeal, the General Court held, first, that, in the light of the fact that the rules governing the harmonisation of national fiscal legislation and the rules on State aid have a shared objective, namely to promote the proper functioning of the internal market, by combating, inter alia, distortions of competition, the concept of distortion of competition had to be regarded as having the same scope and the same meaning in both those areas, in order to ensure the consistent implementation of those rules.","Those authorisations were thereafter extended several times by the Council and ultimately, by means of Council Decision 2001/224/EC of 12 March 2001 concerning reduced rates of excise duty and exemptions from such duty on certain mineral oils when used for specific purposes (OJ 2001 L 84, p. 23), extended until 31 December 2006.",no-relation,premise,non-argumentative,A2013_European Commission v Ireland and Others
"*Languages of the case: French, English and Italian.","It is clear, in that regard, from the contested decision that the Commission had taken the view, at the time when the Council adopted the authorisation decisions, that those decisions did not give rise to a distortion of competition and did not impede the proper functioning of the internal market (Commission v Ireland and Others, paragraph 83).",no-relation,non-argumentative,premise,A2013_European Commission v Ireland and Others
"implemented by Spain (OJ 2011 L 7, p. 48; ‘the contested decision’).","November 1950, and from Article 47 of the Charter of Fundamental Rights of the European Union.",no-relation,non-argumentative,non-argumentative,R2013_Telefónica SA v European Commission
in support of their action.,or association whose interests might be affected by the granting of aid.,no-relation,premise,non-argumentative,R2011_European Commission v Kronoply GmbH & Co
laid down therein are not fulfilled.,on appeal from a decision of the Court of First Instance.,no-relation,non-argumentative,premise,R2002_associacao dos refinadores de acucar portugueses
"It follows from the foregoing that, having regard to the arguments put forward by Frucona Koice at first instance, the General Court had to establish, inter alia, whether the available information relating to the duration of a bankruptcy was relevant in the present case for the purposes of an assessment from the point of view of the private creditor test and, if so, whether the Commission took account of it.","conducted by the European Union Courts on complex economic assessments made by the Commission in the field of State aid, it is not for those Courts to substitute their own economic assessment for that of the Commission (see, to that effect, Case C-290/07 P Commission v Scott [2010] ECR I-7763, paragraphs 64 and 66 and the case- law cited).",support,premise,premise,A2013_Frucona Košice a.s. v European Commission
objectively different situations regarding those two categories of undertakings.,that period being able to extend beyond 31 December 2010.,no-relation,premise,non-argumentative,A2009_Commission of the European Communities v Koninklijke FrieslandCampina NV_M
"that effect, British Aggregates v Commission, paragraph 115).",general scheme of the tax system of which it formed part.,support,premise,premise,A2012_BNP Paribas and Banca Nazionale del Lavoro SpA (BNL) v European Commission
"By the judgment under appeal, the General Court held that the first head of claim was admissible, finding, first, that FL was directly and individually concerned by the decision at issue and therefore had locus standi when the action was brought and, secondly, that FL had retained a legal interest in bringing proceedings after L�beck Airport was sold.","That interpretation conflicts with the Court of Justice's case-law according to which a measure is not a general measure of tax or economic policy, and is thus selective, if it applies only to certain sectors of the economy or to certain undertakings in a given sector.",no-relation,non-argumentative,non-argumentative,R2016_European Commission v Hansestadt Lübeck
to that length has no basis in the case-law.,Orders the Kingdom of Denmark to bear its own costs.,no-relation,non-argumentative,non-argumentative,"R2013_3F, formerly Specialarbejderforbundet i Danmark (SID) v European Commission"
Article 92(1) of the Treaty.,other three criteria or constitutes the legal basis of the Commission's assessment.,attack,premise,premise,R2000_French Republic v Ladbroke Racing Ltd and Commission of the European Communitie
inseparable from one another.,"force on 8 January 2008, amended the rate of the mining fee.",no-relation,premise,non-argumentative,R2015_European Commission v MOL Magyar Olaj- és Gázipari Nyrt
"6, Land Hessen v Pollmeier Massivholz, C-242/15 P, not published, EU:C:2016:765, paragraph 28).",which could have led to the unsuitable nature of that report for the assessment at issue.,no-relation,non-argumentative,premise,A2017_Ellinikos Chrysos AE Metalleion kai Viomichanias Chrysou v European Commission
"It is, however, not apparent from the judgment under appeal that any such examination was carried out.","comparison of the arrangement and the bankruptcy, to the duration of a bankruptcy procedure.",support,premise,premise,A2013_Frucona Košice a.s. v European Commission
"present judgment, it entails implementing measures.","Parliament and Council, paragraph 72).",no-relation,premise,premise,R2013_Telefónica SA v European Commission
combat the flight from Danish flags to flags of third States.,to that length has no basis in the case-law.,no-relation,non-argumentative,non-argumentative,"R2013_3F, formerly Specialarbejderforbundet i Danmark (SID) v European Commission"
Background to the dispute,Procedure before the Court and forms of order sought,no-relation,non-argumentative,non-argumentative,A2017_European Commission v TV2_Danmark A_S
"Thus, it is clear from the case-law of the Court of Justice that, contrary to the Commission's submissions, the obligation to suspend the implementation of the measure in question is not the only legal effect of a decision to initiate the formal investigation procedure.","In that regard, it should be recalled that the Court of Justice has also held, in the judgment of 21 November 2013, Deutsche Lufthansa (C-284/12, EU:C:2013:755, paragraph 45) and in the order of the Court of 4 April 2014, Flughafen L�beck (C-27/13, not published, EU:C:2014:240, paragraph 27), that where, in accordance with Article 108(3) TFEU, the Commission has initiated a formal investigation procedure with regard to a measure which has not been notified and is in the course of implementation, a national court hearing an application for the cessation of the implementation of that measure and for the recovery of the sums already paid is required to adopt all the measures that are necessary in order to draw the appropriate conclusions from any infringement of the obligation to suspend the implementation of that measure.",support,premise,premise,R2016_European Commission v Hansestadt Lübeck
"Therefore, even if the sums corresponding to the measure in question are not permanently held by the Treasury, the fact that they constantly remain under public control, and therefore available to the competent national authorities, is sufficient for them to be categorised as 'State resources' (see judgments of 16 May 2002, France v Commission, C-482/99, EU:C:2002:294, paragraph 37; of 17 July 2008, Essent Netwerk Noord and Others, C-206/06, EU:C:2008:413, paragraph 70; of 30 May 2013, Doux levage and Cooprative agricole UKL-ARREE, C-677/11, EU:C:2013:348, paragraph 35; and of 19 December 2013, Association Vent De Colre! and Others, C-262/12, EU:C:2013:851, paragraph 21).","Further, it must be recalled that, in accordance with the Court's settled case-law, Article 107(1) TFEU covers all the financial means by which the public authorities may actually support undertakings, irrespective of whether or not those means are permanent assets of the State.",support,premise,premise,A2017_European Commission v TV2_Danmark A_S
"In the light of all the foregoing considerations, the second, third and fourth parts of Aer Lingus's single ground of appeal and the second and third parts of Ryanair's single ground of appeal must be rejected and, accordingly, the cross-appeals dismissed in their entirety as unfounded.",It follows that the first part of the Aer Lingus' single ground of appeal must be rejected.,support,conclusion,premise,A2016_European Commission v Aer Lingus Ltd and Ryanair Designated Activity Company
The first part of the first ground of appeal must accordingly be rejected.,That proposition cannot be accepted.,support,conclusion,premise,R2000_French Republic v Ladbroke Racing Ltd and Commission of the European Communitie
"Moreover, the General Court was wrong to hold, in paragraphs 208 and 212 of the judgment under appeal, that resources originating with third parties that are managed by public undertakings can constitute State resources only when they are voluntarily placed at the disposal of the State by their owners or abandoned by their owners and when the State has assumed the management of those resources.","As stated above in paragraph 48 of the present judgment, and contrary to what is stated in paragraph 211 of the judgment under appeal, the fact that the source of that revenue, which came from advertisers, was private is of no significance in that regard and is irrelevant to the question whether that revenue was controlled by the Danish authorities.",attack,premise,premise,A2017_European Commission v TV2_Danmark A_S
From this it concluded that the Commission had not 'ignored that question'.,"appeal, cited in paragraph 35 above, that the General Court found that the Commission had indicated, in recital 54 of the contested decision, the position of the Slovak Republic as regards the duration of such a procedure, and that it referred, in recital 40 of that decision, to that of Frucona Koice.",support,premise,premise,A2013_Frucona Košice a.s. v European Commission
therefore be regarded as selective.,matters between the European Union and the Member States.,no-relation,non-argumentative,premise,A2011_European Commission (C-106_09 P) and Kingdom of Spain (C-107_09 P) v Government of Gibraltar and United Kingdom of Great Britain and Northern Ireland
"The French legislature therefore cannot be criticised for having treated bets on French races differently from bets on foreign races by providing, in Article 15(3) of Law N o 64-1279, that bets on horse-races abroad were to be subject to the statutory and fiscal retentions in force in the country where the races are organized.",cannot be regarded per se as sufficient to justify the conclusion that there was no treatment favouring the Belgian PMU.,support,premise,premise,R1997_Tiercé Ladbroke SA v Commission of the European Communities
"— in the alternative, refer the case back to the Court of First Instance;",By orders of the President of the Third Chamber of the Court of First Instance of 25 Línea Blanca and the Conseil européen de la construction d'appareils domestiques were granted leave to intervene in support of the form of order sought by the Commission.,no-relation,non-argumentative,non-argumentative,R2004_Daewoo Electronics Manufacturing España SA and Territorio Histórico de Álava - Diputación Foral de Álava v Commission of the European Communities
"In examining those pleas, the General Court considered, inter alia, that the authorisation decisions precluded the Commission being able to attribute the exemptions at issue to the Member States themselves and, consequently, being able to classify them as State aid within the meaning of Article 87(1) EC.","The General Court then found, in paragraphs 76 to 97 of the judgment under appeal, that, in this case, it was not in dispute that Ireland, the French Republic and the Italian Republic had, in order to apply or continue to apply the exemptions at issue until 31 December 2003, relied on the authorisation decisions and that they had fully complied with those decisions which, in so far as restrictive conditions of a geographical and temporal nature were attached to them, were binding on those Member States.",no-relation,non-argumentative,premise,A2013_European Commission v Ireland and Others
"The Court then considered whether the nature and purpose of the agreement at issue in Albany justified its exclusion from the scope of Article 85(1) of the Treaty, and concluded that, in that case, its exclusion from the scope of that provision was justified (see Albany, paragraphs 59 to 64).","Finally, the Court of First Instance held that the appellant had not shown that its own interests as a negotiator were liable to be directly affected by the aid deriving from the fiscal measures at issue. Referring to Joined Cases 67/85, 68/85 and 70/85 Van der Kooy and Others v Commission [1988] ECR 219 and Case C‑313/90 CIRFS and Others v Commission [1993] ECR I‑1125, it found, in paragraphs 39 and 40 of the order under appeal, that the mere fact that the appellant had made a complaint to the Commission against the aid at issue did not mean that it was distinguished individually. Even though the appellant might have been one of the negotiators of the collective agreements for seafarers on board ships registered in one of the Danish registers and as such have played a part in the machinery for passing the aid on to shipowners, the appellant had not shown that it had negotiated the drafting of the Community guidelines on State aid to maritime transport, relied on in the present case, with the Commission or the adoption of the fiscal measures at issue with the Commission or the Danish Government.",no-relation,premise,non-argumentative,A2009_3F v Commission of the European Communities
FT’s argument is unfounded.,ing the administrative procedure.,no-relation,non-argumentative,non-argumentative,R2011_France Télécom SA v European Commission
"Accordingly, the appeal must be held to be admissible.","Moreover, it follows from those same provisions that an appeal is inadmissible in so far as it merely repeats the pleas in law and arguments previously submitted to the General Court, including those based on facts expressly rejected by it.",support,conclusion,premise,R2016_DTS Distribuidora de Televisión Digital
"In particular, by setting out all of those considerations, the Commission, in its examination of the condition relating to distortion of competition and that of effect on trade in recitals 171 to 173 of the decision at issue, stated that the members of the EIGs operated in all sectors of the economy, particularly in sectors open to trade between Member States, and that, in addition, by means of the operations benefiting from the STL system, they operated through the EIGs on the markets for bareboat chartering and the purchase and sale of ships, which are also open to trade between Member States, so that the advantages arising from the STL system strengthened their position in their respective markets, thereby distorting or threatening to distort competition.","As regards the shipping companies and the shipyards, the Commission set out, inter alia, in recitals 162 and 167 to 170 of the decision at issue that, in economic terms, a substantial part of the tax advantages collected by the EIGs was transferred to the shipping companies through a price rebate, but that the advantages obtained by those companies and indirectly by the shipyards were not imputable to the State, resulting from a combination of legal transactions between private entities.",support,premise,premise,A2018_Commission v Spain
"Nor was the appellant closely involved in the process by which the Commission adopted the Community guidelines, from which the incompatibility with the common market of the fiscal measures at issue, according to the appellant, is apparent.","Even if the Court of First Instance ought to have considered the manner in which the aid resulting from the fiscal measures at issue was passed on and the part played in this respect by the shipowners’ employees who were members of the appellant, it should be recalled that in paragraphs 31 to 33 of the order under appeal the Court of First Instance had already found that neither the appellant as a trade union of seafarers nor its members as workers employed by the recipients of the aid were competitors of those recipients.",no-relation,premise,premise,A2009_3F v Commission of the European Communities
The fourth part of the first ground of appeal cannot therefore succeed.,It follows that the first part of the first ground of appeal must be rejected.,support,premise,premise,A2018_Scuola Elementare Maria Montessori Srl v European Commission
"With regard to the Commission’s argument that the EIG and its members are part of an economic unit and are the beneficiaries of the advantages arising from the tax measures at issue, which Lico Leasing and PYMAR, and Bankia and Others claim is out of time, it must be pointed out that that argument was advanced before the General Court, as is apparent from paragraphs 167 and 168 of the judgment under appeal.","Kingdom of Spain, represented by M.A.",no-relation,premise,non-argumentative,A2018_Commission v Spain
within the meaning of Article 87(1) EC.,to establish the selectivity of taxation for the purposes of Article 87(1) EC.,support,premise,premise,A2011_European Commission (C-106_09 P) and Kingdom of Spain (C-107_09 P) v Government of Gibraltar and United Kingdom of Great Britain and Northern Ireland
of assessing the advantage granted.,—  order Ellinikos Chrysos to the pay the costs.,no-relation,premise,non-argumentative,A2017_Ellinikos Chrysos AE Metalleion kai Viomichanias Chrysou v European Commission
"It is apparent from all the foregoing considerations that, by finding, in paragraph 123 of the Aer Lingus judgment and paragraph 119 of the Ryanair judgment, respectively, that the Commission had committed 'an error of assessment and an error of law', by setting the amount of aid to be recovered from the beneficiaries of the lower rate of ATT at EUR 8 per passenger in respect of the flights to which that rate applied, the General Court's decision was vitiated by an error of law.","Accordingly, it must be found that, in the present cases, repayment of the aid called for the recovery of a sum of EUR 8 per passenger for each of the flights concerned, as the Commission stated in Article 4 of the decision at issue.",support,premise,premise,A2016_European Commission v Aer Lingus Ltd and Ryanair Designated Activity Company
"The application to EDF of the General Accounting Plan of 1982, which included accounting rules specific to concessions, led to consideration being given from 1987 onwards to the specific constraints which must be faced by concessionaires, who are bound by the obligation to return assets under concession in good working order when the concession ends, in accordance with the ‘principle of the sustainability of public services’.","By the fourth branch of the second plea, the Commission claims, first, that the General Court",no-relation,non-argumentative,non-argumentative,R2012_European Commission v Électricité de France (EDF)
"the second ground of appeal, or the first ground of appeal.",technique used cannot be decisive for the purposes of the determination of the reference framework.,support,conclusion,premise,A2018_Dirk Andres v European Commission
concerned also the value for tax purposes of the shares received by the transferring entities.,to the current value.,no-relation,non-argumentative,non-argumentative,A2012_BNP Paribas and Banca Nazionale del Lavoro SpA (BNL) v European Commission
established and undisputed fact.,requests for first GFA authorisation were pending on the date of the contested decision.,no-relation,premise,non-argumentative,A2009_Commission of the European Communities v Koninklijke FrieslandCampina NV_M
extension of the preliminary examination procedure’.,"T-46/97 SIC v Commission [2000] ECR II-2125], paragraph 89 and the case-law cited).",no-relation,non-argumentative,non-argumentative,"R2013_3F, formerly Specialarbejderforbundet i Danmark (SID) v European Commission"
the case in point.,the contested decision does not entail implementing measures.,support,premise,premise,R2013_Telefónica SA v European Commission
as an illegal restriction of the scope of Article 93(2) and (3) of the Treaty.,competition rules will be complied with by the Member State concerned.,support,premise,premise,R2002_associacao dos refinadores de acucar portugueses
reasons in the judgment under appeal in that regard.,respond to the plea relating to infringement of the principle of good administration.,no-relation,premise,non-argumentative,"R2013_3F, formerly Specialarbejderforbundet i Danmark (SID) v European Commission"
The Commission contends that the Court should dismiss the appeal and order Ladbroke to. pay the costs.,"It follows that if the reasoning in the contested decision to the effect that there was no advantage for the Belgian P M U was correct, the Court of First Instance was right to hold that that was enough in itself to justify the rejection of the complaint, and that it did not need to examine Ladbroke's argument that the Belgian PMU's French revenue came from a compulsory levy provided for under rules of French public law.",no-relation,non-argumentative,premise,R1997_Tiercé Ladbroke SA v Commission of the European Communities
"Under Article 184(2) of the Court's Rules of Procedure, where an appeal is well founded and the Court itself gives final judgment in the case, the Court is to make a decision as to costs.",TV2/Danmark contends that the Court should:,no-relation,non-argumentative,non-argumentative,A2017_European Commission v TV2_Danmark A_S
port of its analysis that the discretion enjoyed by the Commission in determining,"The first ground of appeal, relating to the identification of the beneficiary of the aid at",no-relation,non-argumentative,non-argumentative,R2010_AceaElectrabel Produzione SpA v European Commission
paragraphs 44 to 50 of the judgment under appeal.,was itself incompatible with that policy.,no-relation,premise,non-argumentative,R2002_associacao dos refinadores de acucar portugueses
"In the present case, since the General Court examined only some of a number of pleas in law put forward by the parties, the Court considers that the state of the proceedings does not permit it to give final judgment.","In accordance with the first paragraph of Article 61 of the Statute of the Court of Justice, the latter may, after quashing the decision of the General Court, itself give final judgment in the matter, where the state of the proceedings so permits, or refer the case back to the General Court for judgment.",no-relation,non-argumentative,non-argumentative,A2013_European Commission v Ireland and Others
"Athinaïki Techniki v Commission, paragraph 37).",of Regulation No 659/1999.,no-relation,premise,non-argumentative,A2010_NDSHT Nya Destination Stockholm Hotell & Teaterpaket AB v European Commission
envisaged in a general and abstract manner.,period of time and/or for an indefinite amount’.,no-relation,premise,premise,A2018_Scuola Elementare Maria Montessori Srl v European Commission
constitute a decision pursuant to Article 4 of Regulation No 659/1999.,"sion, paragraphs 54 and 58).",support,premise,premise,A2010_NDSHT Nya Destination Stockholm Hotell & Teaterpaket AB v European Commission
"As a consequence, the Commission's appeals must be upheld and paragraph 1 of the operative part of the Aer Lingus judgment and of the Ryanair judgment must be set aside.","It is apparent from all the foregoing considerations that, by finding, in paragraph 123 of the Aer Lingus judgment and paragraph 119 of the Ryanair judgment, respectively, that the Commission had committed 'an error of assessment and an error of law', by setting the amount of aid to be recovered from the beneficiaries of the lower rate of ATT at EUR 8 per passenger in respect of the flights to which that rate applied, the General Court's decision was vitiated by an error of law.",support,conclusion,premise,A2016_European Commission v Aer Lingus Ltd and Ryanair Designated Activity Company
"application, applicable to any operator.",was concluded or new operators.,no-relation,premise,premise,R2015_European Commission v MOL Magyar Olaj- és Gázipari Nyrt
That examination therefore in principle requires prior definition of the reference framework within which the measure concerned fits.,"pursued by that regime, in a comparable factual and legal situation (judgments of 6 September 2006, Portugal v Commission, C-88/03, EU:C:2006:511, paragraph 56, and of 28 July 2011, Mediaset v Commission, C-403/10 P, not published, EU:C:2011:533, paragraph 36).",support,premise,premise,R2016_European Commission v Hansestadt Lübeck
"had nevertheless held that, having regard to the information in recitals 17, 40 and 54 of the contested decision, it was unnecessary to regard the duration of the bankruptcy procedure as being a factor militating against the conclusion of such a procedure.",It is common ground that the Commission is required to make a complex economic assessment when it examines whether particular measures can be,no-relation,non-argumentative,non-argumentative,A2013_Frucona Košice a.s. v European Commission
