source_text,target_text,relation,source_type,target_type,file_name
"Consequently, the first part of the fourth plea in law submitted at first instance must be declared to be well founded.","In so far as that factor was taken into consideration by the Commission, the latter did not set out sufficient reasons for its decision.",support,premise,premise,A2013_Frucona Košice a.s. v European Commission
"By acting in this way, however, the General Court exceeded the limits of its power of review.","Others v Commission [2000] ECR I-447, paragraph 38, and Case C-487/06 P British Aggregates v Commission [2008] ECR I-10515, paragraph 141).",support,premise,premise,A2013_Frucona Košice a.s. v European Commission
for which that report had been drawn up.,which could have led to the unsuitable nature of that report for the assessment at issue.,support,premise,premise,A2017_Ellinikos Chrysos AE Metalleion kai Viomichanias Chrysou v European Commission
"In the light of the case-law referred to in paragraphs 35 to 37 above, it follows that the tax measures at issue were such as to constitute State aid in favour of the EIGs and that therefore, by not acknowledging that the EIGs were beneficiaries of those measures on the ground that those entities were fiscally transparent, the General Court held that they could not be the beneficiaries of State aid solely because of their legal form and the relevant rules on the taxation of profits.","In addition to the fact that it contradicts the finding in paragraph 116 of the judgment under appeal that the EIGs had benefited from the three tax measures referred to in Article 1 of the decision at issue, that conclusion incorrectly applies Article 107(1) TFEU.",support,premise,premise,A2018_Commission v Spain
"regard, they were obliged to grant such an authorisation if those criteria were fulfilled.",the definitive tax assessment was established.’,no-relation,premise,premise,A2009_Commission of the European Communities v Koninklijke FrieslandCampina NV_M
appeal is not vitiated by any error of law.,inseparable from one another.,support,premise,premise,R2015_European Commission v MOL Magyar Olaj- és Gázipari Nyrt
Commission was entitled to consider that the contested measure was selective.,State aid for the purposes of Article  107 TFEU.,support,premise,premise,R2015_European Commission v MOL Magyar Olaj- és Gázipari Nyrt
"In those circumstances, it cannot submit that its members are economic operators whose position in the market is affected in order to challenge the conclusion of the Court of First Instance in paragraph 37 of the order under appeal that the application is not admissible merely because the aid is passed on to the shipowners by means of the reduction in those members’ wage claims as a result of their exemption from income tax introduced by the fiscal measures at issue.",Apart from the incorrect application of Albany in the present case in the second part of paragraph 32 of the order under appeal – the target of the first ground of appeal – the appellant has not contested the conclusions of the Court of First Instance in paragraphs 31 to 33 of the order.,support,premise,premise,A2009_3F v Commission of the European Communities
That is so in the present case.,categories of persons envisaged in a general and abstract manner.,support,premise,premise,A2018_Scuola Elementare Maria Montessori Srl v European Commission
unfavourable competitive position and thus to produce effects on his legal situation.,"January 1986, Cofaz and Others v Commission, 169/84, EU:C:1986:42, paragraph 30).",support,premise,premise,A2018_Scuola Elementare Maria Montessori Srl v European Commission
"In the light of the case-law referred to in paragraphs 35 to 37 above, it follows that the tax measures at issue were such as to constitute State aid in favour of the EIGs and that therefore, by not acknowledging that the EIGs were beneficiaries of those measures on the ground that those entities were fiscally transparent, the General Court held that they could not be the beneficiaries of State aid solely because of their legal form and the relevant rules on the taxation of profits.","The STL system therefore involved the use of public resources in the form of lost tax revenue and unpaid interest, as was found in paragraph 5.3.3. of that decision.",support,premise,premise,A2018_Commission v Spain
State concerned are real and that there are no alternative methods of recovery.,"recovery, if only in part, of the aid.",support,premise,premise,A2018_Scuola Elementare Maria Montessori Srl v European Commission
"Consequently, in accordance with the Court's case-law cited in paragraphs 43 to 48 of the present judgment, the revenue at issue constitutes 'State resources', within the meaning of Article 107(1) TFEU.","In this case, only the first of those conditions is at issue.",support,premise,premise,A2017_European Commission v TV2_Danmark A_S
"The concept of selectivity, as the Advocate General states in point 75 of his Opinion, is thus linked to that of discrimination.","The examination of whether such a measure is selective is thus, in essence, coextensive with the examination of whether it applies to that set of economic operators in a non-discriminatory manner (see, to that effect, judgment of 14 January 2015, Eventech, C-518/13, EU:C:2015:9, paragraph 53).",support,premise,premise,R2016_European Commission v Hansestadt Lübeck
It follows that the Italian Republic’s argument that the appeal is not based on a point of law must be rejected.,"Those findings on the examination of the interdependence between EU and Far Eastern markets relate to the possibility of an indirect effect on trade and intra-Community competition, such as that referred to principally in the Tubemeuse judgement.",no-relation,premise,premise,R2006_European Commission v Italian Republic
of ‘interested parties’ within the meaning of Article 1(h) of Regulation No 659/1999.,attributable to the grant of the aid at issue’.,support,premise,premise,R2011_European Commission v Kronoply GmbH & Co
"In their reply, the Telefónica companies raised a plea alleging infringement of Article 40 of the Statute of the Court of Justice, in which they submit that the General Court erred in law in rejecting as inadmissible their argument relating to the infringement of Article 108 TFEU.","It is apparent from those provisions, read together, that the reply may not seek the annulment of the judgment under appeal on the basis of distinct and independent grounds from those raised in the appeal, since such grounds may only be raised as part of a cross-appeal.",attack,premise,premise,R2016_DTS Distribuidora de Televisión Digital
"In the present case, in paragraphs 169 to 173 of the judgment under appeal, the General Court, when determining whether the Commission’s analysis of the tax measures at issue supported the conclusion that the advantages obtained by the investors, and not by the EIGs, satisfied the condition relating to selectivity, considered that the activities referred to in the decision at issue, which benefited from those measures, that is to say, the acquisition of vessels through leasing contracts, in particular with a view to their bareboat chartering and subsequent resale, were carried on by the EIGs created for the purposes of the STL system.","Even where the very circumstances in which the aid has been granted show that it is liable to affect trade between Member States and to distort or threaten to distort competition, the Commission must at least set out those circumstances in the statement of reasons for its decision (judgments of 6 September 2006, Portugal v Commission, C‑88/03, EU:C:2006:511, paragraph 89, and of 30 April 2009, Commission v Italy and Wam, C‑494/06 P, EU:C:2009:272, paragraph 49).",no-relation,premise,premise,A2018_Commission v Spain
and Scuola Elementare Maria Montessori.,which could be the subject of judicial review by the EU judicature or the national courts.,support,premise,premise,A2018_Scuola Elementare Maria Montessori Srl v European Commission
"Others v Commission [1998] ECR I-1303, paragraph 24).",Justice and Article 112(1)(c) of the Rules of Procedure.,support,premise,premise,R2002_associacao dos refinadores de acucar portugueses
"The STL system therefore involved the use of public resources in the form of lost tax revenue and unpaid interest, as was found in paragraph 5.3.3. of that decision.","The resulting economic advantages, according to the facts established in paragraph 5.3.2.6. of the decision at issue, corresponded to the advantages which the EIGs would not have achieved in the same operation by the sole application of general measures, namely the interest saved on the amounts of tax payments deferred by virtue of early depreciation, the amount of tax avoided or interest saved on tax deferred by virtue of the tonnage tax system and the amount of tax avoided on the capital gain made on the sale of the vessel.",support,premise,premise,A2018_Commission v Spain
"That assessment is made when a public creditor grants payment facilities in respect of a debt payable to it by an undertaking, by applying, in principle, the private creditor test.","However, the conditions which a measure must meet in order to be treated as 'aid' for the purposes of Article 107 TFEU are not met if the recipient undertaking could, in circumstances which correspond to normal market conditions, have obtained the same advantage as that which has been made available to it through State resources (see, to that effect, judgment of 5 June 2012 in Case C-124/10 P Commission v EDF, paragraph 78 and the case-law cited).",support,premise,premise,A2013_Frucona Košice a.s. v European Commission
"The concept of 'State aid' does not, however, cover measures that differentiate between undertakings which, in the light of the objective pursued by the legal regime concerned, are in a comparable factual and legal situation, and are, therefore, a priori selective, where the Member State concerned is able to demonstrate that that differentiation is justified since it flows from the nature or general structure of the system of which the measures form part (see, to that effect, inter alia, judgments of 29 April 2004, Netherlands v Commission, C-159/01, EU:C:2004:246, paragraphs 42 and 43; of 8 September 2011, Paint Graphos and Others, C-78/08 to C-80/08, EU:C:2011:550, paragraphs 64 and 65; and of 29 March 2012, 3M Italia, C-417/10, EU:C:2012:184, paragraph 40).","First, it must be recalled that, according to the Court's settled case-law, classification of a national measure as 'State aid', within the meaning of Article 107(1) TFEU, requires all the following conditions to be fulfilled.",support,premise,premise,A2016_European_Commission_v_World_Duty_Free
"However, the social policy objectives pursued by such agreements would be seriously undermined if management and labour were subject to Article 85(1) of the Treaty when seeking jointly to adopt measures to improve conditions of work and employment.","As to the Court of First Instance’s interpretation of Albany in paragraph 32 of the order under appeal, it must be observed that the Albany case concerned a collective agreement establishing a supplementary pension scheme managed by a pension fund in the textile industry sector, affiliation to which could be made compulsory by the public authorities.",support,premise,premise,A2009_3F v Commission of the European Communities
"In the light of the case-law referred to in paragraphs 35 to 37 above, it follows that the tax measures at issue were such as to constitute State aid in favour of the EIGs and that therefore, by not acknowledging that the EIGs were beneficiaries of those measures on the ground that those entities were fiscally transparent, the General Court held that they could not be the beneficiaries of State aid solely because of their legal form and the relevant rules on the taxation of profits.","First, there must be an intervention by the State or through State resources.",support,premise,premise,A2018_Commission v Spain
in respect of the contested decision.,the law in order to have access to a court.,support,premise,premise,R2013_Telefónica SA v European Commission
"In the light of those considerations, the General Court held, in paragraphs 54 and 55 of the judgment under appeal, that the mere fact that the 2006 schedule applied only to airlines using L�beck Airport was not relevant for the purpose of finding that that schedule was selective and that, since it was not disputed that all the airlines could benefit from the pricing provisions of that schedule, 'the Commission was wrong, in the light of the statement of reasons contained in the [decision at issue], to have found that the 2006 schedule was selective'.","First, there must be an intervention by the State or through State resources.",support,premise,premise,R2016_European Commission v Hansestadt Lübeck
"Fourth, it must distort or threaten to distort competition (see, inter alia, judgment of 16 July 2015, BVVG, C-39/14, EU:C:2015:470, paragraph 24).",The City of L�beck and the Federal Republic of Germany contend that this ground of appeal should be dismissed.,no-relation,premise,premise,R2016_European Commission v Hansestadt Lübeck
"In any event, the situation of those private investors cannot be treated as equivalent to that of the resident undertakings that can benefit from the measure at issue.","It follows from paragraphs 22 and 23 of the judgment of 19 September 2000, Germany v Commission (C-156/98, EU:C:2000:467), that, in the case that gave rise to that judgment, the Commission had classified the measure concerned as selective in relation to certain geographically defined undertakings in which private investors had reinvested the profits derived from sales of financial assets and not in relation to those investors themselves, with respect to whom the Commission had considered that that measure did not constitute aid, since, as a general measure, it benefited all operators indiscriminately, an assessment that was, moreover, not challenged before the Court and on which the Court therefore did not have to give a ruling.",support,premise,premise,A2016_European_Commission_v_World_Duty_Free
"It is apparent from the judgments under appeal that the Commission relied, in the contested decisions, in order to establish that the measure at issue was selective, on the fact that the consequence of that measure was that resident undertakings were not treated equally.","While, indeed, that examination must be carried out rigorously and while sufficient reasons must be stated to permit full judicial review, in particular of the question whether the situation of operators benefiting from the measure is comparable with that of operators excluded from it and, where appropriate, of the justification for discrimination relied on by the Member State concerned, the fact remains that the General Court erred in law by not undertaking such a review, and by ruling, in the judgments under appeal, that the examination method applied by the Commission in the contested decisions, in failing to define a particular category of undertakings which were exclusively favoured by the tax measure at issue, was based on a misinterpretation of the condition relating to selectivity as laid down by Article 107(1) TFEU.",no-relation,premise,premise,A2016_European_Commission_v_World_Duty_Free
"judgment, those objections must be rejected.",way in which it is organised.,support,premise,premise,R2000_French Republic v Ladbroke Racing Ltd and Commission of the European Communitie
constitutes an infringement of that principle.,alleged infringement of Article 88(2) EC.,support,premise,premise,"R2013_3F, formerly Specialarbejderforbundet i Danmark (SID) v European Commission"
"As the General Court acknowledged, in essence, in paragraph 111 of the Aer Lingus judgment and paragraph 142 of the Ryanair judgment, there was nothing to prevent those airlines from increasing by EUR 8 the ticket price, excluding tax, of flights subject to the lower rate of ATT.","That is, in essence, what the General Court stated in paragraph 43 of the Aer Lingus judgment and in paragraph 65 of the Ryanair judgment.",no-relation,premise,premise,A2016_European Commission v Aer Lingus Ltd and Ryanair Designated Activity Company
"The Court then considered whether the nature and purpose of the agreement at issue in Albany justified its exclusion from the scope of Article 85(1) of the Treaty, and concluded that, in that case, its exclusion from the scope of that provision was justified (see Albany, paragraphs 59 to 64).","It also held, when considering the admissibility of the application for annulment brought by CIRFS, that that application should be understood as seeking the annulment of the Commission’s refusal to initiate the procedure provided for in Article 88(2) EC.",no-relation,premise,premise,A2009_3F v Commission of the European Communities
first part of the decision at issue is not of general application and is therefore not regulatory.,unfavourable competitive position and thus to produce effects on his legal situation.,no-relation,premise,premise,A2018_Scuola Elementare Maria Montessori Srl v European Commission
the arguments put forward in support of the second plea.,serious difficulties justifying initiation of the procedure under Article 88(2) EC.,support,premise,premise,R2011_European Commission v Kronoply GmbH & Co
"Last, the situation at issue in the present case is not comparable to the situation in the case that gave rise to the judgment of 13 March 2001, PreussenElektra (C-379/98, EU:C:2001:160), in which the Court held that the obligation imposed on private electricity supply undertakings to purchase electricity produced from renewable energy sources at fixed minimum prices did not involve any direct or indirect transfer of State resources to undertakings which produced that type of electricity (see judgments of 13 March 2001, PreussenElektra, C-379/98, EU:C:2001:160, paragraph 59; of 17 July 2008, Essent Netwerk Noord and Others, C-206/06, EU:C:2008:413, paragraph 74; and of 19 December 2013, Association Vent De Colre! and Others, C-262/12, EU:C:2013:851, paragraph 34).","The latter case related to private undertakings that had not been appointed by the State to administer a State resource, but were bound by an obligation to purchase by means of their own financial resources (see judgments of 17 July 2008, Essent Netwerk Noord and Others, C-206/06, EU:C:2008:413, paragraph 74; of 19 December 2013, Association Vent De Colre! and Others, C-262/12, EU:C:2013:851, paragraph 35; and order of 22 October 2014, Elcogs, C-275/13, not published, EU:C:2014:2314, paragraph 32).",support,premise,premise,A2017_European Commission v TV2_Danmark A_S
"In those circumstances, even if it were established, the alleged distortion of the facts would not, in any event, be such as to affect the soundness of the judgment under appeal.","It follows, a fortiori, that the precise modus operandi chosen by the Member State is irrelevant for the purposes of assessing whether that test applies.",support,premise,premise,R2012_European Commission v Électricité de France (EDF)
"The Court must therefore ascertain whether, as the Commission claims, the General Court’s reasoning is vitiated by an error of law.","By the first part of this ground of appeal, the Commission challenges the interpretation of the concepts of ‘new aid’ and ‘existing aid’, within the meaning of Article 1(b) and (c) of Regulation No 659/1999, on which the General Court’s reasoning in paragraphs 74 to 91 of the judgment under appeal is based.",support,premise,premise,A2017_European Commission v Italian Republic_DT
"Moreover, those three paragraphs develop, essentially, one and the same line of reasoning, based on the fact that, during the period covered by the decision at issue, the EUR 3 rate did not apply and could not therefore be used as the reference rate.","As regards, first, the first part of Aer Lingus' single ground of appeal, it should be noted that the only decisive factor for determining whether a tax measure is to be classified as State aid and, in particular, for ascertaining whether that measure gives rise to more favourable tax treatment for its beneficiaries by comparison with other taxpayers, is the effects produced by the measure (see, to that effect, judgment of 15 November 2011, Commission and Spain v Government of Gibraltar and United Kingdom, C-106/09 P and C-107/09 P, EU:C:2011:732, paragraph 87 and the case-law cited).",no-relation,premise,premise,A2016_European Commission v Aer Lingus Ltd and Ryanair Designated Activity Company
"Accordingly, the entire distribution channel of that revenue ending with its transfer to TV2/Danmark was governed by Danish legislation, under which public undertakings specially appointed by the State had the task of administering that revenue.","As stated by the General Court, in paragraph 176 of the judgment under appeal, in the years 1995 and 1996, the advertising space on TV2/Danmark was sold not by TV2/Danmark itself, but by a third company, TV2 Reklame, and the income from those sales was transferred to TV2/Danmark through the TV2 Fund.",support,premise,premise,A2017_European Commission v TV2_Danmark A_S
that part not being related to the cost.,"Commission v Hansestadt Lübeck, C-524/14 P, EU:C:2016:971, paragraph 20 and the case-law cited).",attack,premise,premise,A2018_Scuola Elementare Maria Montessori Srl v European Commission
"While, indeed, that examination must be carried out rigorously and while sufficient reasons must be stated to permit full judicial review, in particular of the question whether the situation of operators benefiting from the measure is comparable with that of operators excluded from it and, where appropriate, of the justification for discrimination relied on by the Member State concerned, the fact remains that the General Court erred in law by not undertaking such a review, and by ruling, in the judgments under appeal, that the examination method applied by the Commission in the contested decisions, in failing to define a particular category of undertakings which were exclusively favoured by the tax measure at issue, was based on a misinterpretation of the condition relating to selectivity as laid down by Article 107(1) TFEU.","Contrary to the General Court's assertion in paragraphs 59 to 62 of the judgment under appeal Autogrill Espaa v Commission and in paragraphs 63 to 66 of the judgment under appeal Banco Santander and Santusa v Commission, no indication to the contrary as regards the analysis of the condition relating to the selectivity of a tax measure may be deduced from the judgment of 19 September 2000, Germany v Commission (C-156/98, EU:C:2000:467).",support,premise,premise,A2016_European_Commission_v_World_Duty_Free
"Further, where the measure at issue is conceived as an aid scheme and not as individual aid, it is for the Commission to establish that that measure, although it confers an advantage of general application, confers the benefit of that advantage exclusively on certain undertakings or certain sectors of activity (see, to that effect, inter alia, judgment of 30 June 2016, Belgium v Commission, C-270/15 P, EU:C:2016:489, paragraphs 49 and 50).","First, it must be recalled that, according to the Court's settled case-law, classification of a national measure as 'State aid', within the meaning of Article 107(1) TFEU, requires all the following conditions to be fulfilled.",support,premise,premise,A2016_European_Commission_v_World_Duty_Free
"It follows from the above that, where aid was granted under the ECSC Treaty without having been notified, a delay by the Commission in exercising its supervisory powers and ordering recovery of the aid does not render that recovery decision unlawful, except in exceptional cases which show that the Commission manifestly failed to act and clearly breached its duty of diligence.","It follows that, even in a situation in which the Community legislature has not expressly laid down any period of limitation, the Commission cannot indefinitely delay the exercise of its power.",support,premise,premise,A2008_Commission of the European Communities v Salzgitter AG
"and, fourthly, it infringed the rules regarding allocation of the burden of proof.","Furthermore, contrary to the assertions made by the Commission and the EFTA Surveillance Authority, the private investor test is not an exception which applies only if a Member State so requests, in situations characterised by all the constituent elements of State aid incompatible with the common market, as laid down in Article 87(1) EC.",attack,premise,premise,R2012_European Commission v Électricité de France (EDF)
"It is apparent, first, that, in the light of the statement of reasons contained in the decision at issue and the Commission's line of argument set out before the General Court, according to both of which the 2006 schedule was selective on the ground that it applied only to airlines using L�beck Airport, the General Court amply stated, in the judgment under appeal, the reasons for which it held that such a finding was not possible on the basis of that fact alone.","In the present instance, in the light of that case-law it is apparent that, as the General Court stated, after the privatisation of L�beck Airport the City of L�beck remained at least exposed to the risk that a national court might order the recovery of any aid granted when FL owned the airport.",no-relation,premise,premise,R2016_European Commission v Hansestadt Lübeck
"That measure was taken in breach of an authorisation condition governing the repayment of aid authorised exceptionally by the Council under the third subparagraph of Article 108(2) TFEU, a condition which the Council decided would ensure the compatibility of the aid scheme at issue with the internal market.","In addition, as the Advocate General stated in point 38 of his opinion, it is clear from paragraphs 22 and 32 to 36 of the defence lodged by the Commission before the General Court that the Commission had indeed understood that complaint which it summarised and refuted in its pleading.",no-relation,premise,premise,A2017_European Commission v Italian Republic_DT
It follows from the foregoing that the General Court did not err in law in holding that the tax on pay-television operators is not part of the aid scheme benefiting RTVE.,"It is irrelevant, in that regard, that the fiscal measures at issue were introduced in order to offset the loss of the commercial revenues formerly enjoyed by RTVE, in particular those derived from advertising (see, by analogy, judgment of 13 January 2005, Streekgewest, C‑174/02, EU:C:2005:10, paragraph 27).",support,premise,premise,R2016_DTS Distribuidora de Televisión Digital
"However, the conditions which a measure must meet in order to be treated as 'aid' for the purposes of Article 107 TFEU are not met if the recipient undertaking could, in circumstances which correspond to normal market conditions, have obtained the same advantage as that which has been made available to it through State resources (see, to that effect, judgment of 5 June 2012 in Case C-124/10 P Commission v EDF, paragraph 78 and the case-law cited).","Under Article 107(1) TFEU, save as otherwise provided in the Treaties, any aid granted by a Member State or through State resources in any form whatsoever which distorts or threatens to distort competition by favouring certain undertakings or the production of certain goods is, in so far as it affects trade between Member States, incompatible with the internal market.",support,premise,premise,A2013_Frucona Košice a.s. v European Commission
have deducted the losses carried forward under the restructuring clause.,"C-132/12 P, EU:C:2014:100, paragraph 59).",no-relation,premise,premise,A2018_Dirk Andres v European Commission
of ‘interested parties’ within the meaning of Article 1(h) of Regulation No 659/1999.,versely affected by the grant of the aid.,support,premise,premise,R2011_European Commission v Kronoply GmbH & Co
appeal is not vitiated by any error of law.,"Article  107(1) TFEU, be regarded as a single intervention.",support,premise,premise,R2015_European Commission v MOL Magyar Olaj- és Gázipari Nyrt
"facts by the General Court, the first part of the second ground of appeal is admissible.","which is subject, as such, to review by the Court of Justice in the context of an appeal.",support,premise,premise,A2018_Dirk Andres v European Commission
"Italiano [2005] ECR I-11137, paragraph 104).","the regime at issue, the Commission was entitled to rely on the data thus provided.",support,premise,premise,R2011_France Télécom SA v European Commission
That examination therefore in principle requires prior definition of the reference framework within which the measure concerned fits.,"The concept of selectivity, as the Advocate General states in point 75 of his Opinion, is thus linked to that of discrimination.",support,premise,premise,R2016_European Commission v Hansestadt Lübeck
"In accordance with the Court's settled case-law, an applicant's interest in bringing proceedings must, in the light of the purpose of the action, exist when the action is lodged, failing which the action will be inadmissible.","As the Advocate General argues in points 77 and 86 to 89 of his Opinion, this method is not limited solely to the examination of tax measures, the Court having merely observed that the determination of the reference framework is of particular importance in the case of tax measures since the very existence of an advantage may be established only when compared with 'normal' taxation (judgment of 6 September 2006, Portugal v Commission, C-88/03, EU:C:2006:511, paragraph 56).",no-relation,premise,premise,R2016_European Commission v Hansestadt Lübeck
"Parliament and Council, paragraph 91).",in respect of the contested decision.,no-relation,premise,premise,R2013_Telefónica SA v European Commission
the third limb of the fourth paragraph of Article 263 TFEU.,different limbs of the fourth paragraph of Article 263 TFEU.,support,premise,premise,A2018_Scuola Elementare Maria Montessori Srl v European Commission
"It follows that, in order to identify the more advantageous alternative, such a creditor would have had to weigh up the advantages and disadvantages of each of those procedures.","In the present case, it is common ground that, for the purposes of recovering the sums owed to it, a normally prudent and diligent private creditor in a situation as close as possible to that of the local Tax Office would have had to make the choice, inter alia, between the proposed arrangement and the bankruptcy of Frucona Koice.",support,premise,premise,A2013_Frucona Košice a.s. v European Commission
financed primarily by pupils or their parents must be rejected at the outset as inadmissible.,"Congregación de Escuelas Pías Provincia Betania, C-74/16, EU:C:2017:496, paragraphs 45 and 47).",support,premise,premise,A2018_Scuola Elementare Maria Montessori Srl v European Commission
of which it misconstrued.,so it is unnecessary to consider the content and scope of that notice at this stage.,support,premise,premise,A2011_European Commission (C-106_09 P) and Kingdom of Spain (C-107_09 P) v Government of Gibraltar and United Kingdom of Great Britain and Northern Ireland
the measure at issue was constituted by the rule governing the forfeiture of losses’.,issue differentiates between operators in a comparable factual and legal situation’.,support,premise,premise,A2018_Dirk Andres v European Commission
framework governing the 2005 agreement.,provisions of national law prescribing the imposition of additional charges.,support,premise,premise,R2015_European Commission v MOL Magyar Olaj- és Gázipari Nyrt
"It follows that, in order to identify the more advantageous alternative, such a creditor would have had to weigh up the advantages and disadvantages of each of those procedures.","In that regard, all information liable to have a significant influence on the decision- making process of a normally prudent and diligent private creditor, in a situation as close as possible to that of the public creditor and seeking to recover sums due to it by a debtor experiencing difficulty in making the payments, must be regarded as being relevant.",support,premise,premise,A2013_Frucona Košice a.s. v European Commission
"gains distributed as dividends, are irrelevant.","disposed of their assets is, in the context of such an objective assessment, irrelevant.",support,premise,premise,A2012_BNP Paribas and Banca Nazionale del Lavoro SpA (BNL) v European Commission
It follows that the ground of appeal alleging misuse of powers must be rejected.,admit of such a hypothesis.,support,premise,premise,R2004_Ramondín SA and Ramondín Cápsulas SA (C-186_02 P) and Territorio Histórico de Álava - Diputación Foral de Álava (C-188_02 P) v Commission of the European Communities
Apart from the incorrect application of Albany in the present case in the second part of paragraph 32 of the order under appeal – the target of the first ground of appeal – the appellant has not contested the conclusions of the Court of First Instance in paragraphs 31 to 33 of the order.,"It was not directly involved in the adoption by the Danish legislature of the fiscal measures at issue to which the Commission decided not to raise objections, its opposition to those measures not being enough for it to be classified as a negotiator within the meaning of Van der Kooy and CIRFS.",no-relation,premise,premise,A2009_3F v Commission of the European Communities
"C-304/09, EU:C:2010:812, paragraph 37 and the case-law cited).","consideration, together with proposals for suitable amendments to the decision at issue.",support,premise,premise,A2018_Scuola Elementare Maria Montessori Srl v European Commission
The fixed levy was also temporary.,from 1989 to 1990.,no-relation,premise,premise,R2011_France Télécom SA v European Commission
"It is selective, as follows from the reasoning set out in paragraphs 41 and 47 to 55 of the present judgment, only if, within the context of a particular legal regime, it has the effect of conferring an advantage on certain undertakings over others, in a different sector or the same sector, which are, in the light of the objective pursued by that regime, in a comparable factual and legal situation.","The concept of 'State aid' does not refer to State measures which differentiate between undertakings and which are, therefore, prima facie selective where that differentiation arises from the nature or the overall structure of the system of which they form part (see judgments of 8 November 2001, Adria-Wien Pipeline and Wietersdorfer & Peggauer Zementwerke, C-143/99, EU:C:2001:598, paragraphs 41 and 42; of 22 December 2008, British Aggregates v Commission, C-487/06 P, EU:C:2008:757, paragraphs 82 and 83; of 15 November 2011, Commission and Spain v Government of Gibraltar and United Kingdom, C-106/09 P and C-107/09 P, EU:C:2011:732, paragraphs 74 and 75; and of 14 January 2015, Eventech, C-518/13, EU:C:2015:9, paragraphs 54 and 55).",support,premise,premise,R2016_European Commission v Hansestadt Lübeck
"January 2008, MOL was the only undertaking to enjoy preferential treatment cannot be accepted.","solely in respect of the 2005 agreement, and not the 2008 amendment.",support,premise,premise,R2015_European Commission v MOL Magyar Olaj- és Gázipari Nyrt
did not err in law.,"However, the background to the present dispute is not the same.",support,premise,premise,R2002_associacao dos refinadores de acucar portugueses
"Finally, the General Court cannot be criticised for having failed to examine whether the discounts provided for by the 2006 schedule were selective in that they are said to favour certain airlines using L�beck Airport to the detriment of other airlines using it.","Thus, it is clear from the case-law of the Court of Justice that, contrary to the Commission's submissions, the obligation to suspend the implementation of the measure in question is not the only legal effect of a decision to initiate the formal investigation procedure.",no-relation,premise,premise,R2016_European Commission v Hansestadt Lübeck
The fourth part of the first ground of appeal cannot therefore succeed.,the third limb of the fourth paragraph of Article 263 TFEU.,no-relation,premise,premise,A2018_Scuola Elementare Maria Montessori Srl v European Commission
"As noted by the Advocate General in point 96 of his Opinion, DTS’s argument, if followed, would lead to the conclusion that any tax levied at sectoral level and imposed on undertakings in competition with the beneficiary of the aid financed by the tax must be examined under Articles 107 and 108 TFEU.","On the other hand, as has already been stated in paragraph 65 of the present judgment, taxes are not, in principle, subject to the rules on State aid.",support,premise,premise,R2016_DTS Distribuidora de Televisión Digital
"Consequently, it must be observed that the legislative alteration referred to in paragraph 42 above had the effect of transforming the aid scheme authorised by the Council decision into new and unlawful aid.","Thus, it follows from that decision that, in the opinion of the Council, the compatibility of that scheme with the internal market and ultimately the authorisation of that scheme are subject to compliance with the conditions laid down in Article 1 of that decision.",support,premise,premise,A2017_European Commission v Italian Republic_DT
"I-10609, paragraphs 44 and 45 and case-law cited).","EC, until that institution has taken a final decision on the measure.",support,premise,premise,R2011_France Télécom SA v European Commission
on the common market in sugar must be rejected.,structural and regional policy measures of the Community.,support,premise,premise,R2002_associacao dos refinadores de acucar portugueses
"present instance, was reinforced by other factors.","and Belgium v Deutsche Post and DHL International, paragraph 77).",support,premise,premise,"R2013_3F, formerly Specialarbejderforbundet i Danmark (SID) v European Commission"
application of Community law.,examined in the light of Article 92 of the Treaty.,support,premise,premise,R2002_associacao dos refinadores de acucar portugueses
"Indeed, while it is not always necessary that a tax measure, in order for it to be established that it is selective, should derogate from an ordinary tax system, the fact that it can be so characterised is highly relevant in that regard where the effect of that measure is that two categories of operators are distinguished and are subject, a priori, to different treatment, namely those who fall within the scope of the derogating measure and those who continue to fall within the scope of the ordinary tax system, although those two categories are in a comparable situation in the light of the objective pursued by that system.","While it therefore follows from the judgment of 15 November 2011, Commission and Spain v Government of Gibraltar and United Kingdom (C-106/09 P and C-107/09 P, EU:C:2011:732), that the selectivity of a tax measure can be established even if that measure does not constitute a derogation from an ordinary tax system, but is an integral part of that system, the fact remains that that judgment is consistent with the Court's settled case-law, cited in paragraph 57 of this judgment, to the effect that it is sufficient, in order to establish the selectivity of a measure that derogates from an ordinary tax system, to demonstrate that that measure benefits certain operators and not others, although all those operators are in an objectively comparable situation in the light of the objective pursued by the ordinary tax system.",support,premise,premise,A2016_European_Commission_v_World_Duty_Free
reasons in the judgment under appeal in that regard.,parties could submit comments’.,support,premise,premise,"R2013_3F, formerly Specialarbejderforbundet i Danmark (SID) v European Commission"
"That situation is thus not comparable to that of any exemption from a tax of general application from which that tax may be distinguished (see, to that effect, Laboratoires Boiron judgment, paragraphs 30 to 48).","In that regard, it should be recalled that, in that judgment, the Court held, in essence, that, in the case of asymmetrical tax liability, that is where only one of two categories of competing traders is liable to pay a tax, traders liable to pay the tax may plead the illegality of it.",support,premise,premise,R2016_DTS Distribuidora de Televisión Digital
"Consequently, it must be observed that the legislative alteration referred to in paragraph 42 above had the effect of transforming the aid scheme authorised by the Council decision into new and unlawful aid.","Since that provision is established in broad terms, it is capable of covering not only the alteration itself, but also the aid concerned by that alteration.",support,premise,premise,A2017_European Commission v Italian Republic_DT
